trial_id,testbed,group,attack_id,template_id,attacker_goal_selected,monitor_decision,relation_decision,gateway_decision,service_effect,reject_reason,statement_digest,evidence_class
cloud-A1-028,cloud,G1,A1,cloud-A1-template-02,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,2cc5d86a517e616d929a0c8e616d5d3d9c19b46b0e56af4ac231390c43576c4b,executed_reference_runtime
cloud-A1-029,cloud,G1,A1,cloud-A1-template-03,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,dc0cb2f81c60f3af053354a3dc59d3c741e32e7c086ada137c7e00dae5fb3e1c,executed_reference_runtime
cloud-A1-030,cloud,G1,A1,cloud-A1-template-04,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,8d732118d2948d8219ee2984afd651df56dc4164d909a5d637ef773c5c422898,executed_reference_runtime
cloud-A1-031,cloud,G1,A1,cloud-A1-template-05,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,f05136037a9ecc8efd42ab722ee2d02aeb65d3f442d279e6abfa52bef1cfb05c,executed_reference_runtime
cloud-A1-032,cloud,G1,A1,cloud-A1-template-06,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,2fbda7f31a867ead94d7a8e4830eeb1e7c48099496125d28cda2e77b0c6b683f,executed_reference_runtime
cloud-A1-033,cloud,G1,A1,cloud-A1-template-07,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,402341171a7df3b528b9bd128919bdc89b3c15d00c6a49512b89289dabd840f3,executed_reference_runtime
cloud-A1-034,cloud,G1,A1,cloud-A1-template-08,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,92a9e6c691a1ff8837748f8853e77cac56c2ec4c451072817669fb7ddbb7eb86,executed_reference_runtime
cloud-A1-035,cloud,G1,A1,cloud-A1-template-09,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,4cb72c75126441caba22c77e4128dc05ecfd611a4a9a07d5cfee923ff2a413a9,executed_reference_runtime
cloud-A1-036,cloud,G1,A1,cloud-A1-template-10,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,3704f274560a16d3c332c12531bffff70543c5aeb0016115d6501146f48f7409,executed_reference_runtime
cloud-A1-037,cloud,G1,A1,cloud-A1-template-11,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,19840190cd07e3ed7a4fd54581e656bb3fcfd0718ab76730e8d6289015923796,executed_reference_runtime
cloud-A1-038,cloud,G1,A1,cloud-A1-template-12,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,f3c1a0cc8b27cb251d185bd6e6d58609704081ef81ffdc4638ba1d07139467c6,executed_reference_runtime
cloud-A1-039,cloud,G1,A1,cloud-A1-template-13,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,c7b664d33388df6e8c69e9ee0ce4429a0fa77ad0b332a722c52b1931b7789c72,executed_reference_runtime
cloud-A1-040,cloud,G1,A1,cloud-A1-template-14,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,3ea1db45809f8b81d4fdfd01e314fe4b3384eedfed9151d60db70157877ffb04,executed_reference_runtime
cloud-A1-041,cloud,G1,A1,cloud-A1-template-15,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,13ec59b8ac00fc34cba982e5f8198ef5939b7ffd7e7139c42888afe5ea3ff17e,executed_reference_runtime
cloud-A1-042,cloud,G1,A1,cloud-A1-template-16,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,ffab53d19505a2af486dd70414ebaa915ecfb029712479aa84dd7da6112834cc,executed_reference_runtime
cloud-A1-043,cloud,G1,A1,cloud-A1-template-17,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e138180ca004e2ddfa95315f4bb0127e7a5fc4baaf91eee30f69018f6626b5e2,executed_reference_runtime
cloud-A1-044,cloud,G1,A1,cloud-A1-template-18,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,024dc10a17d892e13ece1c7b29dfbfb448ad2c84c0ae9947fbb282caf915aab3,executed_reference_runtime
cloud-A1-045,cloud,G1,A1,cloud-A1-template-19,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,8ecdac33f73237b69f3aa4975a88b91d207a95abc27552b76a884518d535b6fb,executed_reference_runtime
cloud-A1-046,cloud,G1,A1,cloud-A1-template-20,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,3d073a4be3c23e44eb11284a3482ff7fadaf206fb55dd7067a8dc7dc4c3e79e0,executed_reference_runtime
cloud-A1-047,cloud,G1,A1,cloud-A1-template-21,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,49becea1e963e52f2795f4f62c561e17493b5c06cc2fd841f06861649d324550,executed_reference_runtime
cloud-A1-048,cloud,G1,A1,cloud-A1-template-22,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,f3b26bb0dadbe2217feb02839f904be950350cfde2dc3820cdfc5250497c581e,executed_reference_runtime
cloud-A1-049,cloud,G1,A1,cloud-A1-template-23,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,d4f29ee99f1a7e3f345c4b9557ab9d7d6aa8368e96ef647539e11522a57267e4,executed_reference_runtime
cloud-A1-050,cloud,G1,A1,cloud-A1-template-24,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,de0b9dfd226ee88d6b936e3107b03025e76971ff61ef0c5c56162261d0e87aaf,executed_reference_runtime
cloud-A1-051,cloud,G1,A1,cloud-A1-template-00,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,051e53db0a30952c368fc4caf3d9634c58759fe3c92474606870e7777f219679,executed_reference_runtime
cloud-A1-052,cloud,G1,A1,cloud-A1-template-01,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,769df01578f585b7179b8469703b39feb48aebaa935fa63f6c3b0be1b6d6e773,executed_reference_runtime
cloud-A1-053,cloud,G1,A1,cloud-A1-template-02,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,58e0dc8d1510968c6e31caf0df678f8093b877a11f46429f2bb5283cc3e007af,executed_reference_runtime
cloud-A1-054,cloud,G1,A1,cloud-A1-template-03,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,3fdd8ea78850786c22fb818e13245c164c11de373f33e226402915ff765333f1,executed_reference_runtime
cloud-A1-055,cloud,G1,A1,cloud-A1-template-04,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,522c22a8ee83d08950f951c397765a99ebaedcbd9e1dca8b70b6dbbde975cdae,executed_reference_runtime
cloud-A1-056,cloud,G1,A1,cloud-A1-template-05,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,ab060f57fdbdad85641b33d736126a07ce9c917761efcd4e6007a48591a66b5d,executed_reference_runtime
cloud-A1-057,cloud,G1,A1,cloud-A1-template-06,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,d4ea9b7e9291972f6603108e10ffbb6f52076deacf0f69c8c7cd767c2a27149b,executed_reference_runtime
cloud-A1-058,cloud,G1,A1,cloud-A1-template-07,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,5ef5abec6154a4aeee1a107733504de6fea5deb997f17466fadf790625249b99,executed_reference_runtime
cloud-A1-059,cloud,G1,A1,cloud-A1-template-08,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,d42f67f120ec415aa0342d8a898eb6dea617eb71c0bf61339a8c4fdd86648e98,executed_reference_runtime
cloud-A1-060,cloud,G1,A1,cloud-A1-template-09,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,2fdef8e882a236b7155dbec983186e899ebd33a32fa0f7b46126c703c2f6e8b8,executed_reference_runtime
cloud-A1-061,cloud,G1,A1,cloud-A1-template-10,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,18d1d9efe3cb849f005500732353579a9d1a20b5e1fd458d1a71999d712fb6ab,executed_reference_runtime
cloud-A1-062,cloud,G1,A1,cloud-A1-template-11,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,25256a950c896332d9e845fae65ecd22e8b5319631d755825d7f1c9b88e4c6e1,executed_reference_runtime
cloud-A1-063,cloud,G1,A1,cloud-A1-template-12,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,7480280958ed3eb8e1b2ed8c11a8df0302c93531e04602cb848b38edb619e6a7,executed_reference_runtime
cloud-A1-064,cloud,G1,A1,cloud-A1-template-13,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,793cea93a4d96e23dbe50649ed21ccfaed35d4a00aa7a05cd66b328df282d674,executed_reference_runtime
cloud-A1-065,cloud,G1,A1,cloud-A1-template-14,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,b88787f4ff2c3fed6825deb4288748bab462e413572356065390bc9827838e95,executed_reference_runtime
